number,title,body,title_length,body_length,created_at,merged_at,updated_at,closed_at,state,merged,comments,commits,additions,deletions,changed_files,lines_added,lines_deleted,files_added,files_deleted,files_updated,files_modified,directory_num,file_type,language_num,segs_added,segs_deleted,segs_updated,file_developer,change_num,k_coreness,experience,repo
133,Incorporate TARGET in the install and build step,"- Tidying up the build matrix
  - All channels has TARGET env var
  - Build against this targets:
    - x86_64-unknown-linux-gnu
    - x86_64-unknown-linux-musl
    - i686-unknown-linux-gnu
    - i686-unknown-linux-musl
    - x86_64-apple-darwin
  - Code formating check has it's own item in the build matrix
- Prevent target re-add error from rustup
- Incorporate the TARGET env var in the `install` and `script` stage

fix #132 ",48,442,2017-10-19 14:04:30+00:00,2017-10-20 07:01:41+00:00,2017-10-20 15:26:35+00:00,2017-10-20 07:01:41+00:00,closed,True,8,2,81,27,1,81,27,0,0,1,1,0,1,1,0,0,0,0,1,0,0,sharkdp/fd
136,Adding integration test for -x/--exec,Added some testing of --exec command for Issue #134,37,51,2017-10-19 23:40:17+00:00,,2017-10-26 18:57:32+00:00,2017-10-26 18:57:32+00:00,closed,False,6,7,31,5,3,31,5,0,0,3,3,2,2,2,0,0,0,0,3,0,0,sharkdp/fd
137,Auto disable colored output for unsupported Windows shells,Resolves #129,58,13,2017-10-20 02:41:26+00:00,2017-10-20 22:33:50+00:00,2017-10-20 22:33:50+00:00,2017-10-20 22:33:50+00:00,closed,True,6,2,85,0,6,85,0,3,0,3,3,3,3,3,0,0,0,0,6,0,0,sharkdp/fd
142,[WIP] Fix --exec,"Problem solved but the tests are in a tangle.

ping #139 #141 ",16,64,2017-10-21 05:29:55+00:00,2017-10-26 18:56:33+00:00,2017-11-01 20:24:03+00:00,2017-10-26 18:56:33+00:00,closed,True,16,5,170,94,6,170,94,0,0,6,6,4,3,3,0,0,0,0,6,0,0,sharkdp/fd
143,Relicense under MIT/Apache-2.0,"We're missing one code contributor in #105, but this is now ready to go after we have everybody's agreement of the relicensing.",30,127,2017-10-21 08:20:34+00:00,2017-10-22 08:36:43+00:00,2017-10-22 08:36:55+00:00,2017-10-22 08:36:43+00:00,closed,True,2,1,353,22,20,353,22,2,1,17,17,7,2,3,0,0,0,0,20,0,0,sharkdp/fd
140,README: Arch Linux has package fd-rs in official repos,This is a small update to the README to point toward the officially maintained package rather than the one in AUR.,54,114,2017-10-20 20:10:46+00:00,2017-10-20 22:23:17+00:00,2017-10-20 22:23:17+00:00,2017-10-20 22:23:17+00:00,closed,True,1,1,2,4,1,2,4,0,0,1,1,0,1,1,0,0,0,0,1,0,0,sharkdp/fd
139,Escape exec Inputs,"Paths are now transformed using a state machine, which ensures that the final output is escaped when the inner value is returned. Nothing special beyond inputs now getting escaped.

Closes #135 ",18,196,2017-10-20 19:57:54+00:00,2017-10-20 22:29:47+00:00,2017-10-21 16:24:09+00:00,2017-10-20 22:29:47+00:00,closed,True,6,1,262,139,3,262,139,1,1,1,1,1,1,1,0,0,0,0,3,0,0,sharkdp/fd
144,Add filter trait for walk,Add filter trait for walk to separate filter logical from walk.run,25,66,2017-10-21 11:29:43+00:00,,2017-10-22 09:33:42+00:00,2017-10-22 09:02:32+00:00,closed,False,2,1,33,26,1,33,26,0,0,1,1,1,1,1,0,0,0,0,1,0,0,sharkdp/fd
145,Using cargo-update to update the rustfmt on travis,Fix #138,50,8,2017-10-21 20:28:16+00:00,2017-10-22 08:38:21+00:00,2017-10-22 12:20:14+00:00,2017-10-22 08:38:22+00:00,closed,True,1,1,6,2,1,6,2,0,0,1,1,0,1,1,0,0,0,0,1,0,0,sharkdp/fd
146,Updates and preparations for v5.0,"- Fixed a few `cargo clippy` warnings
- Updated README
- Preparations for v5.0",33,80,2017-10-22 09:49:46+00:00,2017-10-22 10:10:52+00:00,2017-10-22 10:10:54+00:00,2017-10-22 10:10:52+00:00,closed,True,0,1,26,21,10,26,21,0,0,10,10,3,4,4,0,0,0,0,10,0,0,sharkdp/fd
147,CI experiment,Just a small experiment - I'm not going to merge this.,13,54,2017-10-22 17:23:46+00:00,,2017-10-26 07:23:46+00:00,2017-10-25 19:35:07+00:00,closed,False,4,9,33,7,4,33,7,0,0,4,4,3,2,2,0,0,0,0,4,0,0,sharkdp/fd
148,Add support for exclude-patterns,"* Adds the `--exclude`/`-E` option.
* Support for multiple exclude patterns

Example:
``` bash
> fd --exclude 'tests/**/*.rs' mod
src/exec/mod.rs
src/fshelper/mod.rs
src/lscolors/mod.rs
```

I finally decided to call this `--exclude` because it is not exactly the same as ripgrep's `--glob` and I think the name is pretty clear.

Closes #89

/CC @tmccombs @Detegr",32,378,2017-10-22 21:08:22+00:00,2017-10-25 20:22:13+00:00,2017-10-25 20:43:02+00:00,2017-10-25 20:22:13+00:00,closed,True,3,1,92,11,5,92,11,0,0,5,5,2,1,1,0,0,0,0,5,0,0,sharkdp/fd
