,has_bug,has_document,has_feature,has_improve,has_refactor,has_test,has_fix,has_error,has_update,title_length,body_length,created_hour,created_dayofweek,created_month,created_year,comments,commits,additions,deletions,changed_files,directories,language_types,file_types,lines_added,lines_deleted,segs_added,segs_deleted,segs_updated,files_added,files_deleted,files_updated,file_developer,change_num,files_modified,is_core_member,prev_PRs,title_words,body_words
211,0,0,0,0,0,0,0,0,0,19,408,15,2,4,2020,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,4,76
212,0,0,0,1,0,0,0,0,0,32,1651,16,3,4,2020,0,2,81,8,8,5,3,3,81,8,0,0,0,0,0,8,0,8,8,0,0,3,269
213,0,0,0,0,0,0,0,0,0,32,1048,19,3,4,2020,12,2,50,4,4,2,3,3,50,4,0,0,0,0,0,4,0,4,4,0,0,3,120
214,0,0,0,0,0,1,1,0,0,27,1052,10,5,4,2020,0,7,170,111,8,4,1,1,170,111,0,0,0,0,0,8,0,8,8,0,0,4,156
215,0,0,0,0,0,0,0,1,0,18,123,10,4,4,2020,0,21,328,436,20,6,3,3,328,436,0,0,0,2,1,17,0,20,17,0,0,3,19
216,0,0,0,0,0,0,0,0,0,37,107,16,3,4,2020,7,1,24,6,5,3,3,3,24,6,0,0,0,0,0,5,0,5,5,0,0,6,21
217,0,0,0,0,0,1,0,0,0,75,359,9,5,4,2020,3,9,176,4,7,3,1,1,176,4,0,0,0,1,0,6,0,7,6,0,0,12,60
218,0,0,0,0,0,0,0,0,0,45,344,13,2,4,2020,0,1,23,3,3,2,2,2,23,3,0,0,0,0,0,3,0,3,3,0,0,8,51
219,0,0,0,0,0,0,0,0,0,31,12,16,2,4,2020,0,2,8,1,2,1,2,2,8,1,0,0,0,0,0,2,0,2,2,0,0,5,2
220,0,0,0,0,0,0,0,0,0,33,144,14,2,4,2020,0,1,96,3,7,3,3,3,96,3,0,0,0,0,0,7,0,7,7,0,0,4,21
221,0,0,0,0,0,0,0,0,0,47,12,18,2,4,2020,1,5,74,7,2,2,1,1,74,7,0,0,0,0,0,2,0,2,2,0,0,6,2
222,0,0,0,0,0,0,0,0,0,49,124,7,3,4,2020,0,1,49,8,7,2,3,3,49,8,0,0,0,0,0,7,0,7,7,0,0,8,3
223,0,0,0,0,0,0,1,0,0,29,0,17,3,4,2020,9,2,7,6,1,1,1,1,7,6,0,0,0,0,0,1,0,1,1,0,0,4,0
224,0,0,0,0,0,0,1,0,1,38,191,19,6,4,2020,3,1,29,14,2,2,1,1,29,14,0,0,0,0,0,2,0,2,2,0,0,6,30
225,0,0,0,0,0,0,1,0,0,33,0,9,4,5,2020,0,1,22,28,5,3,1,1,22,28,0,0,0,0,0,5,0,5,5,0,0,6,0
226,0,0,0,0,0,1,0,0,0,52,590,14,4,5,2020,11,8,203,1,10,3,5,5,203,1,0,0,0,1,0,9,0,10,9,0,0,9,79
227,0,0,0,0,0,0,0,0,0,28,244,22,6,5,2020,6,2,71,10,3,2,1,1,71,10,0,0,0,0,0,3,0,3,3,0,0,4,40
228,0,0,0,0,0,0,1,0,0,32,669,21,1,5,2020,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,4,84
229,0,0,0,0,0,1,0,0,0,27,616,7,2,4,2020,7,1,60,7,8,3,4,4,60,7,0,0,0,0,0,8,0,8,8,0,0,4,93
230,0,0,0,0,0,0,0,0,0,25,95,4,2,5,2020,1,1,23,0,1,0,1,1,23,0,0,0,0,0,0,1,0,1,1,0,0,5,5
